DependencyName,DependencyPath,Description,License,Md5,Sha1,Identifiers,CPE,CVE,CWE,Vulnerability,Source,CVSSv2_Severity,CVSSv2_Score,CVSSv2,CVSSv3_BaseSeverity,CVSSv3_BaseScore,CVSSv3,CPE Confidence,Evidence Count,VendorProject,Product,Name,DateAdded,ShortDescription,RequiredAction,DueDate,Notes
avro-1.8.2.jar (shaded: com.google.guava:guava:11.0.2),/home/runner/.m2/repository/org/apache/avro/avro/1.8.2/avro-1.8.2.jar/META-INF/maven/com.google.guava/guava/pom.xml,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      This project is a complete packaging of all the Guava libraries     into a single jar.  Individual portions of Guava can be used     by downloading the appropriate module and its dependencies.      Guava (complete) has only one code dependency - javax.annotation,     per the JSR-305 spec.",,07a0a23085fd6bbb576acc145ee549dc,906d56dcbd43343b6ca42188ae18ba98dc6c2fdf,pkg:maven/com.google.guava/guava@11.0.2,cpe:2.3:a:google:guava:11.0.2:*:*:*:*:*:*:*,CVE-2023-2976,CWE-378 Creation of Temporary File With Insecure Permissions,"Use of Java's default temporary directory for file creation in `FileBackedOutputStream` in Google Guava versions 1.0 to 31.1 on Unix systems and Android Ice Cream Sandwich allows other users and apps on the machine with access to the default Java temporary directory to be able to access the files created by the class.  Even though the security vulnerability is fixed in version 32.0.0, we recommend using version 32.0.1 as version 32.0.0 breaks some functionality under Windows.",OSSINDEX,,,,MEDIUM,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,9,,,,,,,,
avro-1.8.2.jar (shaded: com.google.guava:guava:11.0.2),/home/runner/.m2/repository/org/apache/avro/avro/1.8.2/avro-1.8.2.jar/META-INF/maven/com.google.guava/guava/pom.xml,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      This project is a complete packaging of all the Guava libraries     into a single jar.  Individual portions of Guava can be used     by downloading the appropriate module and its dependencies.      Guava (complete) has only one code dependency - javax.annotation,     per the JSR-305 spec.",,07a0a23085fd6bbb576acc145ee549dc,906d56dcbd43343b6ca42188ae18ba98dc6c2fdf,pkg:maven/com.google.guava/guava@11.0.2,cpe:2.3:a:google:guava:11.0.2:*:*:*:*:*:*:*,CVE-2018-10237,CWE-770 Allocation of Resources Without Limits or Throttling,"Unbounded memory allocation in Google Guava 11.0 through 24.x before 24.1.1 allows remote attackers to conduct denial of service attacks against servers that depend on this library and deserialize attacker-provided data, because the AtomicDoubleArray class (when serialized with Java serialization) and the CompoundOrdering class (when serialized with GWT serialization) perform eager allocation without appropriate checks on what a client has sent and whether the data size is reasonable.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,9,,,,,,,,
avro-1.8.2.jar (shaded: com.google.guava:guava:11.0.2),/home/runner/.m2/repository/org/apache/avro/avro/1.8.2/avro-1.8.2.jar/META-INF/maven/com.google.guava/guava/pom.xml,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      This project is a complete packaging of all the Guava libraries     into a single jar.  Individual portions of Guava can be used     by downloading the appropriate module and its dependencies.      Guava (complete) has only one code dependency - javax.annotation,     per the JSR-305 spec.",,07a0a23085fd6bbb576acc145ee549dc,906d56dcbd43343b6ca42188ae18ba98dc6c2fdf,pkg:maven/com.google.guava/guava@11.0.2,cpe:2.3:a:google:guava:11.0.2:*:*:*:*:*:*:*,CVE-2020-8908,CWE-732 Incorrect Permission Assignment for Critical Resource,"A temp directory creation vulnerability exists in all versions of Guava, allowing an attacker with access to the machine to potentially access data in a temporary directory created by the Guava API com.google.common.io.Files.createTempDir(). By default, on unix-like systems, the created directory is world-readable (readable by an attacker with access to the system). The method in question has been marked @Deprecated in versions 30.0 and later and should not be used. For Android developers, we recommend choosing a temporary directory API provided by Android, such as context.getCacheDir(). For other Java developers, we recommend migrating to the Java 7 API java.nio.file.Files.createTempDirectory() which explicitly configures permissions of 700, or configuring the Java runtime's java.io.tmpdir system property to point to a location whose permissions are appropriately configured.",NVD,LOW,2.1,/AV:L/AC:L/Au:N/C:P/I:N/A:N,LOW,3.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,HIGH,9,,,,,,,,
avro-1.8.2.jar (shaded: org.apache.avro:avro-guava-dependencies:1.8.2),/home/runner/.m2/repository/org/apache/avro/avro/1.8.2/avro-1.8.2.jar/META-INF/maven/org.apache.avro/avro-guava-dependencies/pom.xml,Temporary artifact of guava dependencies,,1117ab0e3aa409849f56cb09776d930e,23d4a56f8c32dbfd25bf866f626ebfa4a65e7fcf,pkg:maven/org.apache.avro/avro-guava-dependencies@1.8.2,cpe:2.3:a:apache:avro:1.8.2:*:*:*:*:*:*:*,CVE-2021-43045,CWE-770 Allocation of Resources Without Limits or Throttling,"A vulnerability in the .NET SDK of Apache Avro allows an attacker to allocate excessive resources, potentially causing a denial-of-service attack. This issue affects .NET applications using Apache Avro version 1.10.2 and prior versions. Users should update to version 1.11.0 which addresses this issue.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,11,,,,,,,,
avro-1.8.2.jar,/home/runner/.m2/repository/org/apache/avro/avro/1.8.2/avro-1.8.2.jar,Avro core components,http://www.apache.org/licenses/LICENSE-2.0.txt,10395e5a571e1a1f6113411f276d2fea,91e3146dfff4bd510181032c8276a3a0130c0697,pkg:maven/org.apache.avro/avro@1.8.2,cpe:2.3:a:apache:avro:1.8.2:*:*:*:*:*:*:*,CVE-2021-43045,CWE-770 Allocation of Resources Without Limits or Throttling,"A vulnerability in the .NET SDK of Apache Avro allows an attacker to allocate excessive resources, potentially causing a denial-of-service attack. This issue affects .NET applications using Apache Avro version 1.10.2 and prior versions. Users should update to version 1.11.0 which addresses this issue.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,30,,,,,,,,
commons-compress-1.8.1.jar,/home/runner/.m2/repository/org/apache/commons/commons-compress/1.8.1/commons-compress-1.8.1.jar,"Apache Commons Compress software defines an API for working with compression and archive formats. These include: bzip2, gzip, pack200, lzma, xz, Snappy, traditional Unix Compress and ar, cpio, jar, tar, zip, dump, 7z, arj.",http://www.apache.org/licenses/LICENSE-2.0.txt,d862e30ff6b5d78264677dcd6507abb8,a698750c16740fd5b3871425f4cb3bbaa87f529d,pkg:maven/org.apache.commons/commons-compress@1.8.1,cpe:2.3:a:apache:commons_compress:1.8.1:*:*:*:*:*:*:*,CVE-2021-35515,CWE-835 Loop with Unreachable Exit Condition ('Infinite Loop'),"When reading a specially crafted 7Z archive, the construction of the list of codecs that decompress an entry can result in an infinite loop. This could be used to mount a denial of service attack against services that use Compress' sevenz package.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,79,,,,,,,,
commons-compress-1.8.1.jar,/home/runner/.m2/repository/org/apache/commons/commons-compress/1.8.1/commons-compress-1.8.1.jar,"Apache Commons Compress software defines an API for working with compression and archive formats. These include: bzip2, gzip, pack200, lzma, xz, Snappy, traditional Unix Compress and ar, cpio, jar, tar, zip, dump, 7z, arj.",http://www.apache.org/licenses/LICENSE-2.0.txt,d862e30ff6b5d78264677dcd6507abb8,a698750c16740fd5b3871425f4cb3bbaa87f529d,pkg:maven/org.apache.commons/commons-compress@1.8.1,cpe:2.3:a:apache:commons_compress:1.8.1:*:*:*:*:*:*:*,CVE-2021-35516,CWE-770 Allocation of Resources Without Limits or Throttling,"When reading a specially crafted 7Z archive, Compress can be made to allocate large amounts of memory that finally leads to an out of memory error even for very small inputs. This could be used to mount a denial of service attack against services that use Compress' sevenz package.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,79,,,,,,,,
commons-compress-1.8.1.jar,/home/runner/.m2/repository/org/apache/commons/commons-compress/1.8.1/commons-compress-1.8.1.jar,"Apache Commons Compress software defines an API for working with compression and archive formats. These include: bzip2, gzip, pack200, lzma, xz, Snappy, traditional Unix Compress and ar, cpio, jar, tar, zip, dump, 7z, arj.",http://www.apache.org/licenses/LICENSE-2.0.txt,d862e30ff6b5d78264677dcd6507abb8,a698750c16740fd5b3871425f4cb3bbaa87f529d,pkg:maven/org.apache.commons/commons-compress@1.8.1,cpe:2.3:a:apache:commons_compress:1.8.1:*:*:*:*:*:*:*,CVE-2021-35517,CWE-770 Allocation of Resources Without Limits or Throttling,"When reading a specially crafted TAR archive, Compress can be made to allocate large amounts of memory that finally leads to an out of memory error even for very small inputs. This could be used to mount a denial of service attack against services that use Compress' tar package.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,79,,,,,,,,
commons-compress-1.8.1.jar,/home/runner/.m2/repository/org/apache/commons/commons-compress/1.8.1/commons-compress-1.8.1.jar,"Apache Commons Compress software defines an API for working with compression and archive formats. These include: bzip2, gzip, pack200, lzma, xz, Snappy, traditional Unix Compress and ar, cpio, jar, tar, zip, dump, 7z, arj.",http://www.apache.org/licenses/LICENSE-2.0.txt,d862e30ff6b5d78264677dcd6507abb8,a698750c16740fd5b3871425f4cb3bbaa87f529d,pkg:maven/org.apache.commons/commons-compress@1.8.1,cpe:2.3:a:apache:commons_compress:1.8.1:*:*:*:*:*:*:*,CVE-2021-36090,NVD-CWE-Other,"When reading a specially crafted ZIP archive, Compress can be made to allocate large amounts of memory that finally leads to an out of memory error even for very small inputs. This could be used to mount a denial of service attack against services that use Compress' zip package.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,79,,,,,,,,
commons-compress-1.8.1.jar,/home/runner/.m2/repository/org/apache/commons/commons-compress/1.8.1/commons-compress-1.8.1.jar,"Apache Commons Compress software defines an API for working with compression and archive formats. These include: bzip2, gzip, pack200, lzma, xz, Snappy, traditional Unix Compress and ar, cpio, jar, tar, zip, dump, 7z, arj.",http://www.apache.org/licenses/LICENSE-2.0.txt,d862e30ff6b5d78264677dcd6507abb8,a698750c16740fd5b3871425f4cb3bbaa87f529d,pkg:maven/org.apache.commons/commons-compress@1.8.1,cpe:2.3:a:apache:commons_compress:1.8.1:*:*:*:*:*:*:*,CVE-2018-11771,CWE-835 Loop with Unreachable Exit Condition ('Infinite Loop'),"When reading a specially crafted ZIP archive, the read method of Apache Commons Compress 1.7 to 1.17's ZipArchiveInputStream can fail to return the correct EOF indication after the end of the stream has been reached. When combined with a java.io.InputStreamReader this can lead to an infinite stream, which can be used to mount a denial of service attack against services that use Compress' zip package.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,HIGH,79,,,,,,,,
